text,llm_label,confidence,gold_label,rule_label,rule_flag,needs_review,corrected_label,ml_label,ml_confidence,ml_flag,final_label,human_reviewed
Senator Wilson announced new legislation regarding election policy,politics,0.9,politics,politics,,False,politics,politics,0.71,,politics,False
Director five announced plans for a Action Hero sequel,entertainment,0.822,entertainment,entertainment,,False,entertainment,entertainment,0.721,,entertainment,False
The president will address the nation about Wilson tomorrow,politics,0.821,politics,politics,,False,politics,politics,0.632,,politics,False
The debate between candidates election and Wilson lasted hours,politics,0.867,politics,politics,,False,politics,politics,0.756,,politics,False
Artificial intelligence can now cloud with algorithm percent accuracy,tech,0.881,tech,tech,,False,tech,tech,0.655,,tech,False
Voters lined up early to cast ballots in the Infrastructure election,politics,0.93,politics,politics,,False,politics,politics,0.776,,politics,False
The TV show Hollywood Bowl was renewed for five more seasons,entertainment,0.834,entertainment,entertainment,,False,entertainment,entertainment,0.704,,entertainment,False
The TV show five was renewed for Johnson more seasons,entertainment,0.848,entertainment,entertainment,,False,entertainment,entertainment,0.587,,entertainment,False
The startup raised AI million dollars for their cloud platform,tech,0.721,tech,tech,,False,tech,tech,0.746,,tech,False
Johnson defeated Madison Square Garden in a thrilling overtime victory,sports,0.917,sports,sports,,False,sports,sports,0.73,,sports,False
The movie Action Hero grossed Action Hero million at the box office,entertainment,0.765,entertainment,entertainment,,False,entertainment,entertainment,0.752,,entertainment,False
Coach Warriors announced new training strategies for the season,sports,0.814,sports,sports,,False,sports,sports,0.76,,sports,False
Developers released version Google of the popular iPhone software,tech,0.92,tech,tech,,False,tech,tech,0.716,,tech,False
Warriors defeated Johnson in a thrilling overtime victory,sports,0.938,sports,sports,,False,sports,sports,0.651,,sports,False
Voters lined up early to cast ballots in the Johnson election,politics,0.909,politics,politics,,False,politics,politics,0.769,,politics,False
The startup raised AI million dollars for their iPhone platform,tech,0.887,tech,tech,,False,tech,tech,0.737,,tech,False
The president will address the nation about Johnson tomorrow,tech,0.756,politics,politics,rule_suggests_politics_but_llm_predicted_tech,True,politics,politics,0.614,,politics,True
Director Mystery Night announced plans for a Hollywood Bowl sequel,tech,0.71,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment,entertainment,0.748,,entertainment,True
